dataset,fold,filter_criterion,n_features_selected,stage1_time_s,F1,AUC,PRAUC,MCC,Gmean,Precision,Recall,Specificity
PC1,0,shap,9,11.344,0.4,0.7888888888888889,0.3721731012907483,0.3540593369228889,0.6613313074614444,0.35,0.4666666666666667,0.9371980676328504
PC1,0,gini,4,8.395,0.4210526315789473,0.7648953301127215,0.2605998001817521,0.3795931575029914,0.7033391716221727,0.3478260869565217,0.5333333333333333,0.927536231884058
PC1,0,mutual_info,4,4.952,0.358974358974359,0.7644122383252818,0.3577919438828622,0.3108388607388642,0.6544779483398383,0.2916666666666667,0.4666666666666667,0.9178743961352656
PC1,0,variance,4,4.926,0.358974358974359,0.7644122383252818,0.3577919438828622,0.3108388607388642,0.6544779483398383,0.2916666666666667,0.4666666666666667,0.9178743961352656
PC1,1,shap,6,6.379,0.3870967741935484,0.852818035426731,0.4135364937823803,0.3413486853695465,0.6169897312779327,0.375,0.4,0.9516908212560388
PC1,1,gini,6,5.341,0.3870967741935484,0.852818035426731,0.4135364937823803,0.3413486853695465,0.6169897312779327,0.375,0.4,0.9516908212560388
PC1,1,mutual_info,6,5.22,0.3225806451612903,0.8391304347826086,0.3723623283673667,0.271953622959254,0.5618006477335896,0.3125,0.3333333333333333,0.9468599033816424
PC1,1,variance,6,5.125,0.3225806451612903,0.8391304347826086,0.3723623283673667,0.271953622959254,0.5618006477335896,0.3125,0.3333333333333333,0.9468599033816424
PC1,2,shap,9,6.447,0.4444444444444444,0.904126213592233,0.5096528656865689,0.3990038543014097,0.6862024383574915,0.4,0.5,0.941747572815534
PC1,2,gini,9,5.309,0.4444444444444444,0.904126213592233,0.5096528656865689,0.3990038543014097,0.6862024383574915,0.4,0.5,0.941747572815534
PC1,2,mutual_info,11,5.164,0.4210526315789473,0.9018507281553398,0.5287750441756172,0.3739297761523952,0.6826561487862892,0.3636363636363636,0.5,0.9320388349514565
PC1,2,variance,11,5.036,0.4324324324324324,0.9106492718446604,0.5412684637845835,0.3860656964911056,0.6844315904031224,0.3809523809523809,0.5,0.9368932038834952
PC1,3,shap,12,5.998,0.24,0.841626213592233,0.3113377849333428,0.2076662138931735,0.4266600929914307,0.3333333333333333,0.1875,0.970873786407767
PC1,3,gini,10,5.067,0.1739130434782608,0.8578580097087379,0.3156862340086279,0.14906518802504,0.3492363374814765,0.2857142857142857,0.125,0.9757281553398058
PC1,3,mutual_info,10,4.937,0.25,0.8572512135922331,0.3094784587530063,0.226483617927939,0.4277254132340204,0.375,0.1875,0.9757281553398058
PC1,3,variance,8,5.065,0.16,0.8319174757281553,0.2862139738478479,0.1193483987891801,0.3474944995024612,0.2222222222222222,0.125,0.9660194174757282
PC1,4,shap,13,6.278,0.5625,0.9325242718446602,0.5794426935526007,0.5297004099222924,0.7594070246753144,0.5294117647058824,0.6,0.9611650485436892
PC1,4,gini,13,5.111,0.5625,0.9325242718446602,0.5794426935526007,0.5297004099222924,0.7594070246753144,0.5294117647058824,0.6,0.9611650485436892
PC1,4,mutual_info,10,5.03,0.4571428571428571,0.93042071197411,0.5955502148076334,0.4165180143466283,0.7087068309027964,0.4,0.5333333333333333,0.941747572815534
PC1,4,variance,10,4.936,0.4615384615384615,0.9250809061488672,0.6108291764458748,0.4261898580228808,0.7458623731035441,0.375,0.6,0.9271844660194176
PC3,0,shap,13,15.075,0.3548387096774194,0.8017671517671517,0.3047050951388222,0.2515978702244681,0.6049002941843936,0.3055555555555556,0.4230769230769231,0.8648648648648649
PC3,0,gini,15,11.744,0.4590163934426229,0.823076923076923,0.3391715318376024,0.3755069653221908,0.6908971539519304,0.4,0.5384615384615384,0.8864864864864865
PC3,0,mutual_info,9,8.318,0.4126984126984127,0.8072765072765072,0.3104325677718947,0.3200485729656836,0.6596477356401181,0.3513513513513513,0.5,0.8702702702702703
PC3,0,variance,13,8.043,0.417910447761194,0.8091476091476092,0.2880600068814076,0.3260716662275622,0.6781410324373979,0.3414634146341463,0.5384615384615384,0.8540540540540541
PC3,1,shap,3,10.003,0.36,0.854989604989605,0.3663103346956778,0.2744171328557362,0.5639923032163808,0.375,0.3461538461538461,0.918918918918919
PC3,1,gini,3,8.507,0.36,0.854989604989605,0.3663103346956778,0.2744171328557362,0.5639923032163808,0.375,0.3461538461538461,0.918918918918919
PC3,1,mutual_info,17,7.247,0.2727272727272727,0.8319126819126819,0.4090290764415117,0.1952160163295338,0.4645432335105268,0.3333333333333333,0.2307692307692307,0.9351351351351352
